source,cid,category description,sub_batch_name
tmall,50011977,美容护肤/美体/精油>洁面,Face scrub
tb,50011977,美容护肤/美体/精油>洁面,Face scrub
jd,1389,美妆护肤>面部护肤>洁面,Face scrub
tmall,50011997,美容护肤/美体/精油>面部磨砂/去角质,Face scrub
tb,50011997,美容护肤/美体/精油>面部磨砂/去角质,Face scrub
tmall,50011977,美容护肤/美体/精油>洁面,Cleansing
jd,1389,美妆护肤>面部护肤>洁面,Cleansing
tb,50011977,美容护肤/美体/精油>洁面,Cleansing
tmall,50011979,美容护肤/美体/精油>面部精华（新）>液态精华,Essence/Ampoule
tmall,201168604,美容护肤/美体/精油>面部精华（新）>安瓶/原液,Essence/Ampoule
jd,13546,美妆护肤>面部护肤>面部精华,Essence/Ampoule
tb,50011979,美容护肤/美体/精油>面部精华（新）>液态精华,Essence/Ampoule
tb,201168604,美容护肤/美体/精油>面部精华（新）>安瓶/原液,Essence/Ampoule
tmall,121410013,美容护肤/美体/精油>眼部护理（新）>眼部护理套装,Eye care
tmall,121422013,美容护肤/美体/精油>眼部护理（新）>眼部精华,Eye care
tmall,121454013,美容护肤/美体/精油>眼部护理（新）(父级类目),Eye care
tmall,121468012,美容护肤/美体/精油>眼部护理（新）>眼膜,Eye care
tmall,121472009,美容护肤/美体/精油>眼部护理（新）>眼胶,Eye care
tmall,121484013,美容护肤/美体/精油>眼部护理（新）>眼霜,Eye care
jd,1393,美妆护肤>面部护肤>眼部护理,Eye care
jd,13547,美妆护肤>面部护肤>眼霜/眼部精华,Eye care
jd,16833,美妆护肤>面部护肤>眼膜,Eye care
tb,121410013,美容护肤/美体/精油>眼部护理（新）>眼部护理套装,Eye care
tb,121422013,美容护肤/美体/精油>眼部护理（新）>眼部精华,Eye care
tb,121454013,美容护肤/美体/精油>眼部护理（新）(父级类目),Eye care
tb,121468012,美容护肤/美体/精油>眼部护理（新）>眼膜,Eye care
tb,121472009,美容护肤/美体/精油>眼部护理（新）>眼胶,Eye care
tb,121484013,美容护肤/美体/精油>眼部护理（新）>眼霜,Eye care
tmall,50011980,美容护肤/美体/精油>乳液/面霜,Facial cream
jd,1391,美妆护肤>面部护肤>乳液/面霜,Facial cream
tb,50011980,美容护肤/美体/精油>乳液/面霜,Facial cream
tmall,50011978,美容护肤/美体/精油>化妆水/爽肤水,Gel/toner
jd,1390,美妆护肤>面部护肤>爽肤水/化妆水,Gel/toner
tb,50011978,美容护肤/美体/精油>化妆水/爽肤水,Gel/toner
tmall,50011990,美容护肤/美体/精油>卸妆,Make-up remover/micellar
jd,13544,美妆护肤>面部护肤>卸妆,Make-up remover/micellar
tb,50011990,美容护肤/美体/精油>卸妆,Make-up remover/micellar
tmall,121390006,美容护肤/美体/精油>面膜（新）(父级类目),Mask
tmall,121408011,美容护肤/美体/精油>面膜（新）>涂抹面膜,Mask
tmall,121474010,美容护肤/美体/精油>面膜（新）>贴片面膜,Mask
jd,1392,美妆护肤>面部护肤>面膜,Mask
tb,121390006,美容护肤/美体/精油>面膜（新）(父级类目),Mask
tb,121408011,美容护肤/美体/精油>面膜（新）>涂抹面膜,Mask
tb,121474010,美容护肤/美体/精油>面膜（新）>贴片面膜,Mask
tmall,50011993,美容护肤/美体/精油>面部护理套装,Set
jd,1396,美妆护肤>面部护肤>套装/礼盒,Set
tb,50011993,美容护肤/美体/精油>面部护理套装,Set
